Order ID,Order Date,Customer ID,Customer Name,Region,State,Category,Sub Category,Product Name,Quantity,Sales,Cost,Profit,Discount,Month,Year,Profit Margin %
ORD10002,19-03-2025,C1243,Customer 45,East,Odisha,Furniture,Table,Table,10,9102.24,6314.04,2788.2,10,March,2025,30.63%
ORD10003,10-10-2025,C1089,Customer 42,West,Gujarat,Office Supplies,Pen,Pen,9,11604.76,6876.26,4728.5,10,October,2025,40.75%
ORD10004,11-02-2025,C1008,Customer 151,North,Delhi,Office Supplies,Binder,Binder,7,17735.69,9035.4,8700.29,15,February,2025,49.06%
ORD10005,25-07-2025,C1042,Customer 297,North,Delhi,Technology,Keyboard,Keyboard,4,43416.36,21885.77,21530.59,15,July,2025,49.59%
ORD10006,10-05-2025,C1060,Customer 111,North,Delhi,Office Supplies,Binder,Binder,6,36319.37,19117.57,17201.8,5,May,2025,47.36%
ORD10007,26-04-2025,C1048,Customer 256,East,West Bengal,Furniture,Chair,Chair,10,41465.92,21843.97,19621.95,5,April,2025,47.32%
ORD10008,28-04-2025,C1095,Customer 261,East,Odisha,Office Supplies,Pen,Pen,5,39196.55,27927.02,11269.53,5,April,2025,28.75%
ORD10009,07-04-2025,C1293,Customer 205,East,West Bengal,Technology,Keyboard,Keyboard,4,47350.95,39269.47,8081.48,5,April,2025,17.07%
ORD10010,11-06-2025,C1077,Customer 8,South,Kerala,Office Supplies,Binder,Binder,8,16348.82,9663.22,6685.6,10,June,2025,40.89%
ORD10011,12-04-2025,C1096,Customer 173,South,Karnataka,Furniture,Chair,Chair,2,44498.41,32388.25,12110.16,10,April,2025,27.21%
ORD10012,12-08-2025,C1238,Customer 236,South,Karnataka,Furniture,Table,Table,5,26960.26,14056.78,12903.48,0,August,2025,47.86%
ORD10013,28-07-2025,C1164,Customer 189,South,Karnataka,Office Supplies,Pen,Pen,8,34377.38,19837.58,14539.8,5,July,2025,42.29%
ORD10014,03-05-2025,C1003,Customer 191,East,West Bengal,Technology,Keyboard,Keyboard,5,7458.86,5310.87,2147.99,15,May,2025,28.80%
ORD10015,01-09-2025,C1218,Customer 80,South,Tamil Nadu,Technology,Mouse,Mouse,7,38686.04,27661.81,11024.23,20,September,2025,28.50%
ORD10016,21-04-2025,C1059,Customer 1,South,Kerala,Technology,Laptop,Laptop,4,27873.6,20687.69,7185.91,5,April,2025,25.78%
ORD10017,06-02-2025,C1222,Customer 168,West,Gujarat,Office Supplies,Binder,Binder,1,6882.13,3628.17,3253.96,0,February,2025,47.28%
ORD10018,01-10-2025,C1244,Customer 70,East,Odisha,Furniture,Chair,Chair,5,16713.62,9130.42,7583.2,20,October,2025,45.37%
ORD10019,18-06-2025,C1103,Customer 56,North,Delhi,Technology,Keyboard,Keyboard,4,23298.77,12729.71,10569.06,10,June,2025,45.36%
ORD10020,24-02-2025,C1031,Customer 169,East,Odisha,Office Supplies,Pen,Pen,3,2318.64,2006.51,312.13,5,February,2025,13.46%
ORD10021,22-06-2025,C1008,Customer 256,East,Odisha,Technology,Laptop,Laptop,8,25220.1,21482.64,3737.46,0,June,2025,14.82%
ORD10022,02-11-2025,C1104,Customer 94,North,Punjab,Office Supplies,Pen,Pen,4,23074.45,13856.66,9217.79,0,November,2025,39.95%
ORD10023,30-08-2025,C1263,Customer 181,North,Delhi,Technology,Laptop,Laptop,1,40600.17,24045.36,16554.81,20,August,2025,40.78%
ORD10024,07-05-2025,C1192,Customer 134,West,Maharashtra,Technology,Mouse,Mouse,7,42777.96,21475.18,21302.78,10,May,2025,49.80%
ORD10025,28-07-2025,C1217,Customer 222,North,Delhi,Technology,Mouse,Mouse,2,49198.57,28232.25,20966.32,5,July,2025,42.62%
ORD10026,01-11-2025,C1010,Customer 8,East,West Bengal,Furniture,Table,Table,2,39717.56,31459.11,8258.45,0,November,2025,20.79%
ORD10027,29-05-2025,C1206,Customer 62,West,Maharashtra,Technology,Keyboard,Keyboard,7,47781.76,29255.28,18526.48,5,May,2025,38.77%
ORD10028,20-07-2025,C1257,Customer 64,West,Gujarat,Furniture,Chair,Chair,10,43553.27,31145.3,12407.97,5,July,2025,28.49%
ORD10029,22-05-2025,C1265,Customer 255,South,Kerala,Technology,Keyboard,Keyboard,10,48053.32,35235.8,12817.52,20,May,2025,26.67%
ORD10030,08-01-2025,C1190,Customer 221,East,Odisha,Furniture,Table,Table,8,44675.34,30828.75,13846.59,10,January,2025,30.99%
ORD10031,27-04-2025,C1027,Customer 135,South,Kerala,Technology,Keyboard,Keyboard,1,2017.76,1595.92,421.84,15,April,2025,20.91%
ORD10032,07-07-2025,C1130,Customer 271,North,Punjab,Technology,Keyboard,Keyboard,9,33476.85,25348.02,8128.83,20,July,2025,24.28%
ORD10033,22-09-2025,C1228,Customer 98,South,Tamil Nadu,Office Supplies,Pen,Pen,3,48213.78,38187.16,10026.62,0,September,2025,20.80%
ORD10034,12-02-2025,C1203,Customer 103,East,West Bengal,Office Supplies,Paper,Paper,2,3548.4,1958.83,1589.57,0,February,2025,44.80%
ORD10035,26-06-2025,C1153,Customer 165,South,Tamil Nadu,Furniture,Chair,Chair,10,15909.62,8958.59,6951.03,20,June,2025,43.69%
ORD10036,31-03-2025,C1088,Customer 178,North,Delhi,Technology,Keyboard,Keyboard,3,12110.81,9073.88,3036.93,10,March,2025,25.08%
ORD10037,24-10-2025,C1189,Customer 44,East,West Bengal,Furniture,Chair,Chair,7,9024.4,5561.12,3463.28,20,October,2025,38.38%
ORD10038,21-04-2025,C1054,Customer 139,South,Kerala,Technology,Mouse,Mouse,8,16203.08,13972.27,2230.81,0,April,2025,13.77%
ORD10039,06-02-2025,C1020,Customer 140,East,Odisha,Technology,Mouse,Mouse,9,30407.2,23832.35,6574.85,15,February,2025,21.62%
ORD10040,13-06-2025,C1197,Customer 287,South,Kerala,Technology,Mouse,Mouse,9,26718.15,18273.81,8444.34,10,June,2025,31.61%
ORD10041,10-11-2025,C1085,Customer 276,West,Gujarat,Technology,Mouse,Mouse,4,689.37,485.96,203.41,20,November,2025,29.51%
ORD10042,11-08-2025,C1020,Customer 242,North,Delhi,Furniture,Table,Table,3,3005.63,2693.37,312.26,10,August,2025,10.39%
ORD10043,26-04-2025,C1109,Customer 129,North,Delhi,Technology,Keyboard,Keyboard,2,5507.14,4039.58,1467.56,20,April,2025,26.65%
ORD10044,23-01-2025,C1102,Customer 199,South,Tamil Nadu,Furniture,Table,Table,7,44199.76,24307,19892.76,15,January,2025,45.01%
ORD10045,13-04-2025,C1145,Customer 138,West,Maharashtra,Office Supplies,Paper,Paper,9,11925.85,10493.13,1432.72,20,April,2025,12.01%
ORD10046,18-02-2025,C1151,Customer 200,West,Maharashtra,Office Supplies,Binder,Binder,6,39009.58,22152.89,16856.69,20,February,2025,43.21%
ORD10047,06-07-2025,C1182,Customer 167,West,Maharashtra,Office Supplies,Pen,Pen,1,24089.96,20302.86,3787.1,15,July,2025,15.72%
ORD10048,24-07-2025,C1162,Customer 257,East,Odisha,Office Supplies,Binder,Binder,2,9695.52,8515.34,1180.18,15,July,2025,12.17%
ORD10049,26-08-2025,C1180,Customer 146,South,Kerala,Technology,Laptop,Laptop,6,13026.79,11449.76,1577.03,20,August,2025,12.11%
ORD10050,18-05-2025,C1268,Customer 242,East,West Bengal,Technology,Laptop,Laptop,5,5781.8,3429.14,2352.66,15,May,2025,40.69%
ORD10051,13-05-2025,C1231,Customer 240,North,Delhi,Office Supplies,Binder,Binder,10,6248.85,4253.65,1995.2,20,May,2025,31.93%
ORD10052,30-07-2025,C1201,Customer 47,South,Karnataka,Office Supplies,Binder,Binder,2,23321.23,19604.61,3716.62,10,July,2025,15.94%
ORD10053,07-10-2025,C1128,Customer 146,East,Odisha,Technology,Keyboard,Keyboard,5,11160.6,5809.76,5350.84,10,October,2025,47.94%
ORD10054,12-05-2025,C1154,Customer 285,South,Karnataka,Technology,Mouse,Mouse,1,23785.99,17511.7,6274.29,10,May,2025,26.38%
ORD10055,11-03-2025,C1132,Customer 261,South,Karnataka,Furniture,Table,Table,8,20445.67,10279.9,10165.77,0,March,2025,49.72%
ORD10056,17-12-2025,C1112,Customer 203,West,Maharashtra,Furniture,Chair,Chair,1,39503.56,31142.4,8361.16,10,December,2025,21.17%
ORD10057,25-11-2025,C1243,Customer 76,West,Maharashtra,Technology,Keyboard,Keyboard,2,33521.87,23756.03,9765.84,10,November,2025,29.13%
ORD10058,16-09-2025,C1013,Customer 272,North,Delhi,Furniture,Table,Table,9,40727.47,26028.23,14699.24,15,September,2025,36.09%
ORD10059,17-04-2025,C1201,Customer 177,South,Tamil Nadu,Furniture,Table,Table,8,7612.2,3925.83,3686.37,10,April,2025,48.43%
ORD10060,13-06-2025,C1291,Customer 137,West,Gujarat,Office Supplies,Binder,Binder,9,24679.72,17112.88,7566.84,15,June,2025,30.66%
ORD10061,11-04-2025,C1188,Customer 68,West,Gujarat,Furniture,Table,Table,4,13287.99,7969.95,5318.04,10,April,2025,40.02%
ORD10062,09-11-2025,C1199,Customer 120,East,Odisha,Technology,Mouse,Mouse,6,43133.18,34198.29,8934.89,0,November,2025,20.71%
ORD10063,30-03-2025,C1265,Customer 126,North,Delhi,Technology,Mouse,Mouse,2,553.33,314.36,238.97,10,March,2025,43.19%
ORD10064,05-11-2025,C1048,Customer 197,South,Tamil Nadu,Furniture,Table,Table,1,6025.99,4365.98,1660.01,15,November,2025,27.55%
ORD10065,28-08-2025,C1048,Customer 248,South,Karnataka,Furniture,Chair,Chair,1,35308.57,30647.17,4661.4,5,August,2025,13.20%
ORD10066,16-05-2025,C1201,Customer 176,East,West Bengal,Furniture,Chair,Chair,1,49305.58,30047.09,19258.49,5,May,2025,39.06%
ORD10067,22-08-2025,C1157,Customer 138,North,Punjab,Furniture,Chair,Chair,3,48833.98,27525.78,21308.2,5,August,2025,43.63%
ORD10068,21-07-2025,C1101,Customer 165,South,Tamil Nadu,Technology,Keyboard,Keyboard,9,41278.55,21727.91,19550.64,10,July,2025,47.36%
ORD10069,21-04-2025,C1207,Customer 203,North,Punjab,Technology,Laptop,Laptop,5,39999.36,25691.69,14307.67,0,April,2025,35.77%
ORD10070,01-04-2025,C1157,Customer 61,North,Delhi,Furniture,Chair,Chair,5,18751.27,12866.05,5885.22,0,April,2025,31.39%
ORD10071,30-06-2025,C1107,Customer 155,East,Odisha,Office Supplies,Binder,Binder,6,40616.88,34633.46,5983.42,20,June,2025,14.73%
ORD10072,08-02-2025,C1247,Customer 187,West,Gujarat,Technology,Keyboard,Keyboard,4,1220.31,744.86,475.45,10,February,2025,38.96%
ORD10073,14-10-2025,C1090,Customer 156,East,West Bengal,Office Supplies,Pen,Pen,9,2378.95,2034.83,344.12,20,October,2025,14.47%
ORD10074,03-07-2025,C1190,Customer 49,East,Odisha,Furniture,Table,Table,8,2006.33,1554.49,451.84,20,July,2025,22.52%
ORD10075,23-12-2025,C1139,Customer 93,North,Punjab,Furniture,Table,Table,6,12334.35,8716.63,3617.72,20,December,2025,29.33%
